,,,,,Working-age population (thousands),,,,,,,
Bolivia,LFS - Encuesta Continua de Empleo,Female,Rural,2016,1097.5,290.5,454.9,223.2,95.2,33.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Urban,2016,2707.6,897.3,935.3,496.6,177.7,200.2,0.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Total,National,2017,7620.2,2540.2,2825.5,1474.8,403.1,376,0.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Rural,2017,2259.4,632.6,940.7,452.2,165.8,67.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Urban,2017,5360.8,1907.6,1884.8,1022.6,237.3,308.3,0.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,National,2017,3716.1,1339.7,1413.1,736,114.2,112.7,0.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Rural,2017,1127.8,347.4,472.7,227.1,55.3,25,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Urban,2017,2588.3,992.3,940.4,509,58.9,87.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,National,2017,3904.2,1200.6,1412.4,738.8,288.9,263.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Rural,2017,1131.6,285.2,468,225.1,110.5,42.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Urban,2017,2772.6,915.3,944.4,513.6,178.5,220.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,National,2018,7746.3,2482.7,2890.6,1578.7,417.6,376.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Rural,2018,2277,557.2,995.9,485.8,173.1,65.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Urban,2018,5469.2,1925.5,1894.7,1092.9,244.5,311.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,National,2018,3759.7,1297.8,1441.7,782.1,120.8,117.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Rural,2018,1133.2,307.3,500.1,242,57.7,26.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Urban,2018,2626.5,990.6,941.6,540,63.1,91.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,National,2018,3986.5,1184.9,1448.9,796.6,296.7,259.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Rural,2018,1143.9,249.9,495.7,243.8,115.4,39,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Urban,2018,2842.7,935,953.2,552.8,181.3,220.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,National,2019,7871,2459.8,2953.5,1694.5,406.6,356.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Rural,2019,2295.3,542.8,992.9,520.7,167.6,71.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Urban,2019,5575.7,1917,1960.6,1173.9,239,285.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,National,2019,3852.4,1286.9,1484.1,843.8,119.6,118,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Rural,2019,1125.6,294.3,495.9,252.1,55.1,28.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Urban,2019,2726.8,992.6,988.2,591.7,64.5,89.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,National,2019,4018.6,1172.9,1469.4,850.7,287,238.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Rural,2019,1169.7,248.5,497,268.6,112.5,43.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Urban,2019,2848.9,924.4,972.4,582.2,174.5,195.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Total,National,2020,8473.3,2698.6,3186.4,1496.2,526,566,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Total,Rural,2020,2431.5,607.8,1104,438.5,210.3,70.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Total,Urban,2020,6041.8,2090.8,2082.4,1057.7,315.8,495.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Male,National,2020,4089.1,1428.6,1593.1,740.1,149,178.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Male,Rural,2020,1207.4,329.6,561,218.3,69.2,29.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Male,Urban,2020,2881.7,1099,1032.1,521.9,79.8,149,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Female,National,2020,4384.2,1270,1593.3,756,377.1,387.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Female,Rural,2020,1224.1,278.2,543,220.2,141.1,41.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,HIES - Household Survey,Female,Urban,2020,3160.1,991.8,1050.3,535.8,236,346.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bolivia,LFS - Encuesta Continua de Empleo,Total,National,2021,8328.5,2834.6,2959.1,1744.7,433.7,356.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Rural,2021,2416.7,615.6,991.9,546.3,186.8,76.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Total,Urban,2021,5911.9,2219,1967.3,1198.4,246.8,280.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Male,National,2021,4050.3,1466.8,1480.5,866.2,124.4,112.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Rural,2021,1163.4,318.2,494,264.7,57.2,29.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Male,Urban,2021,2886.8,1148.6,986.4,601.5,67.2,83.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Female,National,2021,4278.3,1367.8,1478.6,878.5,309.3,244,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Rural,2021,1253.2,297.4,497.8,281.6,129.7,46.7,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bolivia,LFS - Encuesta Continua de Empleo,Female,Urban,2021,3025.1,1070.5,980.8,596.9,179.7,197.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2011,2581.1,650.8,1554.4,,311.2,51.7,13,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2011,1501.4,364.1,925.2,,181.5,24.3,6.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2011,1079.7,286.8,629.2,,129.7,27.4,6.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2011,1257.5,390.7,776.9,,62.8,20.4,6.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2011,743.9,226.5,462.9,,38.7,12.6,3.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2011,513.7,164.2,314.1,,24.1,7.8,3.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2011,1323.6,260.1,777.5,,248.4,31.2,6.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2011,757.6,137.5,462.4,,142.8,11.6,3.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2011,566.1,122.6,315.1,,105.6,19.6,3.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2012,2581,667.1,1536.2,,313.8,45.8,18.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2012,1507.1,379.6,912.2,,183.6,21.5,10.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2012,1073.9,287.5,624,,130.2,24.4,7.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2012,1249.4,392.9,767.6,,62.1,18,8.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2012,745.2,232.8,455.6,,41.1,10.7,5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2012,504.2,160.1,312,,21.1,7.3,3.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2012,1331.6,274.1,768.6,,251.6,27.9,9.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2012,761.9,146.7,456.7,,142.5,10.8,5.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2012,569.7,127.4,312,,109.1,17.1,4.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2013,2615,693.3,1529.6,,320.2,55.6,16.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2013,1523.7,398.8,903.2,,189.6,23.1,8.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2013,1091.3,294.5,626.4,,130.5,32.5,7.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2013,1278.8,415.5,763.9,,70.2,21.4,7.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2013,756.6,247.6,451.5,,42.2,11,4.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2013,522.1,167.9,312.4,,27.9,10.4,3.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2013,1336.2,277.8,765.8,,250,34.2,8.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2013,767.1,151.2,451.7,,147.4,12.1,4.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2013,569.2,126.5,314,,102.6,22.1,3.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2014,2579.9,683.8,1495.4,,334.8,51,14.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2014,1502.8,386.5,891.8,,197.5,21.7,5.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2014,1077,297.3,603.6,,137.3,29.3,9.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2014,1252.2,410.2,746.8,,67.3,20.5,7.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2014,743.3,240.5,445.5,,43.5,11,2.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2014,509,169.6,301.3,,23.8,9.5,4.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2014,1327.7,273.6,748.6,,267.5,30.4,7.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2014,759.6,145.9,446.3,,153.9,10.7,2.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2014,568.1,127.7,302.3,,113.5,19.7,4.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2015,2588.6,706.7,1476.6,,336.1,53.1,16.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2015,1493.9,399,873.9,,188.3,24.8,7.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2015,1094.7,307.7,602.7,,147.9,28.3,8.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2015,1265.2,422.6,737.9,,75,22,7.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2015,749.6,250.5,437.7,,45.8,11.8,3.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2015,515.6,172,300.2,,29.3,10.2,3.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2015,1323.4,284.1,738.7,,261.1,31.1,8.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2015,744.3,148.5,436.2,,142.5,12.9,4.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2015,579.1,135.6,302.5,,118.6,18.2,4.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2016,2494.4,649.3,1439,,336.8,50.2,19.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2016,1449,372.9,851.5,,194.2,21,9.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2016,1045.4,276.4,587.5,,142.6,29.2,9.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2016,1212,388.4,720.7,,71.9,21.5,9.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2016,717,230.6,426.5,,42.9,12.4,4.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2016,495,157.8,294.2,,29,9.2,4.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2016,1282.4,260.8,718.2,,264.8,28.7,9.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2016,732.1,142.3,425,,151.3,8.6,4.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2016,550.4,118.6,293.2,,113.6,20.1,5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2017,2427,613.5,1410.9,,336.9,52.3,13.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2017,1406.6,348.9,831.1,,195.1,25.2,6.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2017,1020.4,264.6,579.8,,141.7,27.1,7.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2017,1190.5,376.6,704.9,,79.6,22.7,6.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2017,701.8,220.8,415.2,,48.6,14.2,3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2017,488.6,155.8,289.7,,31.1,8.5,3.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2017,1236.6,236.9,705.9,,257.2,29.6,6.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2017,704.8,128.1,415.9,,146.6,11,3.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2017,531.8,108.9,290.1,,110.7,18.6,3.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2018,2405.2,607.9,1393.7,,341.7,50.3,11.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2018,1388.6,342.2,820.5,,199.3,21.4,5.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2018,1016.6,265.7,573.1,,142.4,28.9,6.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2018,1175.4,367.3,697.4,,82.9,21.8,6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2018,690.8,216.1,411,,50.3,10.8,2.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2018,484.6,151.1,286.4,,32.6,11.1,3.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2018,1229.8,240.6,696.3,,258.7,28.5,5.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2018,697.9,126.1,409.6,,149,10.7,2.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2018,531.9,114.5,286.7,,109.8,17.8,3.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2019,2278.1,540.7,1335.2,,343.9,47.6,10.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2019,1320.7,309.1,788.9,,198.5,19.2,4.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2019,957.4,231.6,546.4,,145.4,28.4,5.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2019,1121.2,334.3,668,,92.4,21.2,5.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2019,660.9,196.7,395.1,,56.4,10.1,2.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2019,460.3,137.6,272.9,,36,11.1,2.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2019,1156.9,206.4,667.2,,251.5,26.5,5.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Rural,2019,659.8,112.5,393.8,,142.1,9.1,2.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Urban,2019,497.1,94,273.4,,109.4,17.3,3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,National,2020,2925.9,771,1733.8,,354.5,66.6,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Employment definition: Excluding own-use production workers 
-Break in series: Methodology revised"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Rural,2020,1645.3,417.3,1005.2,,197,25.8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Employment definition: Excluding own-use production workers 
-Break in series: Methodology revised"
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Urban,2020,1280.6,353.7,728.6,,157.5,40.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Employment definition: Excluding own-use production workers 
-Break in series: Methodology revised"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,National,2020,1422,460.4,863.6,,72.5,25.4,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Employment definition: Excluding own-use production workers 
-Break in series: Methodology revised"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Rural,2020,820.4,263.3,500.8,,44,12.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Employment definition: Excluding own-use production workers 
-Break in series: Methodology revised"
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Urban,2020,601.5,197.1,362.8,,28.5,13.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Employment definition: Excluding own-use production workers 
-Break in series: Methodology revised"
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,National,2020,1504,310.6,870.2,,282,41.2,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Employment definition: Excluding own-use production workers 
-Break in series: Methodology revised"
